Province,Department,Programme,Subprogramme,Sum - 2018/19 Revised baseline,Sum - 2019/20 Revised baseline,Sum - 2020/21 Indicative baseline
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Sustainable Resource Management,Disaster Risk Management,91,91,0
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Sustainable Resource Management,Engineering Services,63277,67289,70991
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Sustainable Resource Management,Land Care ,12468.0018999,11063,11671
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Sustainable Resource Management,Land Use Management,52121.5813306,55074,58199
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Veterianary Services,,329984.003619,349137,373337
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Veterianary Services,Animal Health,281915.97,299011,320457
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Veterianary Services,Export Control,10145.988219,10589,11171
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Veterianary Services,Veterinary Laboratory Services,20991.0454,21786,22982
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,Veterianary Services,Veterinary Public Health,16931,17751,18727
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,FARMER SUPPORT AND DEVELOPMENT,,823160.212399,835848,885515
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,FARMER SUPPORT AND DEVELOPMENT,Extension and Advisory  Services,441598.999998,474652,500758
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,FARMER SUPPORT AND DEVELOPMENT,Farmer  Settlement,216271.05,189747,206193
EASTERN CAPE,RURAL DEVELOPMENT AND AGRARIAN REFORM,FARMER SUPPORT AND DEVELOPMENT,Food Security,165290.162401,171449,178564
EASTERN CAPE,SAFETY AND LIAISON,,,101490,103823,110138
EASTERN CAPE,SAFETY AND LIAISON,Administration,,52542,55484,58534
EASTERN CAPE,SAFETY AND LIAISON,Administration,Corporate Services,19095,20601,21732
EASTERN CAPE,SAFETY AND LIAISON,Administration,Finacial Management,20279,20980,22134
EASTERN CAPE,SAFETY AND LIAISON,Administration,Office of the Head of Department,11196,11821,12472
EASTERN CAPE,SAFETY AND LIAISON,Administration,Office of the MEC,1972,2082,2196
EASTERN CAPE,SAFETY AND LIAISON,Provincial Secretariat for Police Service,,48948,48339,51604
EASTERN CAPE,SAFETY AND LIAISON,Provincial Secretariat for Police Service,Community Police Relations,223,446,470
EASTERN CAPE,SAFETY AND LIAISON,Provincial Secretariat for Police Service,Monitoring and Evaluation,4657,4632,4887
EASTERN CAPE,SAFETY AND LIAISON,Provincial Secretariat for Police Service,Policy and Research,2533,2814,2970
EASTERN CAPE,SAFETY AND LIAISON,Provincial Secretariat for Police Service,Programme Support,7294,8501,8969
EASTERN CAPE,SAFETY AND LIAISON,Provincial Secretariat for Police Service,Safety Promotion,34241,31946,34308
EASTERN CAPE,SOCIAL DEVELOPMENT,,,2836581,3043850,3234084
EASTERN CAPE,SOCIAL DEVELOPMENT,Administration,,483597,507691,552338
EASTERN CAPE,SOCIAL DEVELOPMENT,Administration,Corporate Services,309759,324616,348467
EASTERN CAPE,SOCIAL DEVELOPMENT,Administration,District Management,164321,172915,193076
EASTERN CAPE,SOCIAL DEVELOPMENT,Administration,Office of the MEC,9517,10160,10795
EASTERN CAPE,SOCIAL DEVELOPMENT,Children and Families,,854566.7,922135,981046
EASTERN CAPE,SOCIAL DEVELOPMENT,Children and Families,Care and Services to Families,85428,91427,97228
EASTERN CAPE,SOCIAL DEVELOPMENT,Children and Families,Child and Youth Care Centers,116720.7,124202,131665
EASTERN CAPE,SOCIAL DEVELOPMENT,Children and Families,Child Care and Protection,203317,231296,248785
EASTERN CAPE,SOCIAL DEVELOPMENT,Children and Families,Community - Based Care Services for children,43946,47462,49846
EASTERN CAPE,SOCIAL DEVELOPMENT,Children and Families,ECD and Partial Care,366239,386084,409169
EASTERN CAPE,SOCIAL DEVELOPMENT,Children and Families,Management and Support,38916,41664,44353
EASTERN CAPE,SOCIAL DEVELOPMENT,Development and Research,,278245.3,298385,317249
EASTERN CAPE,SOCIAL DEVELOPMENT,Development and Research,Community Based Research and Planning,17990,19260,20502
EASTERN CAPE,SOCIAL DEVELOPMENT,Development and Research,Community Mobilisation,29260.3,31336,33366
EASTERN CAPE,SOCIAL DEVELOPMENT,Development and Research,Institutional capacity building and support for NGO's,42729,48217,51217
EASTERN CAPE,SOCIAL DEVELOPMENT,Development and Research,Management and Support,29087,31062,33015
EASTERN CAPE,SOCIAL DEVELOPMENT,Development and Research,Population Policy Promotion,11314,12095,12864
EASTERN CAPE,SOCIAL DEVELOPMENT,Development and Research,Poverty Alleviation and Sustainable Livelihoods,61312,63901,67903
EASTERN CAPE,SOCIAL DEVELOPMENT,Development and Research,Women Development,31225,33385,35509
EASTERN CAPE,SOCIAL DEVELOPMENT,Development and Research,Youth Development,55328,59129,62873
EASTERN CAPE,SOCIAL DEVELOPMENT,Restorative Services,,417596,448096,464558
EASTERN CAPE,SOCIAL DEVELOPMENT,Restorative Services,Management and Support,20586,22025,23435
EASTERN CAPE,SOCIAL DEVELOPMENT,Restorative Services,"Substance Abuse, Prevention and Rehabilitation",81165,86608,91901
EASTERN CAPE,SOCIAL DEVELOPMENT,Restorative Services,Crime Prevention and Support,202513,216522,230182
EASTERN CAPE,SOCIAL DEVELOPMENT,Restorative Services,Victim Empowerment,113332,122941,119040
EASTERN CAPE,SOCIAL DEVELOPMENT,Social Welfare Services,,802576,867543,918893
EASTERN CAPE,SOCIAL DEVELOPMENT,Social Welfare Services,HIV and AIDS,133845,143951,153102
EASTERN CAPE,SOCIAL DEVELOPMENT,Social Welfare Services,Management and Support,340502,364031,384937
EASTERN CAPE,SOCIAL DEVELOPMENT,Social Welfare Services,Services to Older Persons ,202124,222865,235707
EASTERN CAPE,SOCIAL DEVELOPMENT,Social Welfare Services,Services to Persons with Disabilities,83270,88711,94135
EASTERN CAPE,SOCIAL DEVELOPMENT,Social Welfare Services,Social Relief,42835,47985,51012
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",,,942759.6826,993757,1054585
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",Administration,,295108.6826,308442,328344
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",Administration,Corporate Services,284721.6826,297440,316658
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",Administration,Office of MEC,10387,11002,11686
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",Cultural Affairs,,215774,228569,242471
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",Cultural Affairs,Arts and Culture,79341,84242,89301
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",Cultural Affairs,Heritage Services,19654,20828,22106
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",Cultural Affairs,Language Services,6304,6616,7027
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",Cultural Affairs,Museums Services,91164,96317,102319
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",Cultural Affairs,MANAGEMENT,19311,20566,21718
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",Sport and Recreation,,180611,191657,203080
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",Sport and Recreation,Recreation Development,94676,100166,106236
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",Sport and Recreation,Sport Development,78228,83330,88182
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",Sport and Recreation,MANAGEMENT,2801,2964,3150
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",Sport and Recreation,SCHOOL SPORT,4906,5197,5512
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",LIBRARY AND ARCHIVES SERVICES,,251266,265089,280690
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",LIBRARY AND ARCHIVES SERVICES,Archives Services,25644,27233,28881
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",LIBRARY AND ARCHIVES SERVICES,Library and Information Services,223673,235794,249617
EASTERN CAPE,"SPORT, RECREATION, ARTS AND CULTURE",LIBRARY AND ARCHIVES SERVICES,MANAGEMENT,1949,2062,2192
EASTERN CAPE,TRANSPORT,,,4811584.10148653,4759814.39605973,5067850.715079
EASTERN CAPE,TRANSPORT,Administration,,357429.008,363071.855235895,381388.460079
EASTERN CAPE,TRANSPORT,Administration,Corporate Support,286445.048,296225.423214428,310584
EASTERN CAPE,TRANSPORT,Administration,Departmental Strategy,15677.744,14572.972673293,17136
EASTERN CAPE,TRANSPORT,Administration,Office of the MEC,10822.18,10398.1149452185,10565.4600790003
EASTERN CAPE,TRANSPORT,Administration,MANAGEMENT,44484.036,41875.3444029556,43103
EASTERN CAPE,TRANSPORT,Community Based Programme,,647542.856,610405.480524,650228.255
EASTERN CAPE,TRANSPORT,Community Based Programme,Community Development,582654.236,539531.480524,575447
EASTERN CAPE,TRANSPORT,Community Based Programme,EPWP Co-ordination & Monitoring,7830.732,8684,9161.62
EASTERN CAPE,TRANSPORT,Community Based Programme,Innovation & Empowerment,49603.928,54357,57356.635
EASTERN CAPE,TRANSPORT,Community Based Programme,Programme Support,7453.96,7833,8263
EASTERN CAPE,TRANSPORT,Transport Infrastructure ,,2279119.23148654,2148700.89369938,2293082
EASTERN CAPE,TRANSPORT,Transport Infrastructure ,Construction,968198.4,889134,954470
EASTERN CAPE,TRANSPORT,Transport Infrastructure ,Infrastracture Planning,66692.3314865364,57878.8936993755,68931
EASTERN CAPE,TRANSPORT,Transport Infrastructure ,Infrastructure Design,15979,22714,23962
EASTERN CAPE,TRANSPORT,Transport Infrastructure ,Maintanance,1086653,1024609,1080754
EASTERN CAPE,TRANSPORT,Transport Infrastructure ,Mechanical,129891.5,140782,148527
EASTERN CAPE,TRANSPORT,Transport Infrastructure ,Programme Support,11705,13583,16438
EASTERN CAPE,TRANSPORT,Transport Operations,,1185656.782,1249100.5,1323676
EASTERN CAPE,TRANSPORT,Transport Operations,Infrastructure Operations,57034.32,58146.5,62664
EASTERN CAPE,TRANSPORT,Transport Operations,Programme Support,9819,10685,11304
EASTERN CAPE,TRANSPORT,Transport Operations,Public Transport Services,517370.954,536816,569507
EASTERN CAPE,TRANSPORT,Transport Operations,Scholar Transport,536176.01,567210,597014
EASTERN CAPE,TRANSPORT,Transport Operations,Transport Safety & Compliance,65256.498,76243,83187
EASTERN CAPE,TRANSPORT,Transport Operations,Transport Systems,0,0,0
EASTERN CAPE,TRANSPORT,Transport Regulation,,341836.224,388535.666600461,419476
EASTERN CAPE,TRANSPORT,Transport Regulation,Law Enforcement,308777.206,350794,378959
EASTERN CAPE,TRANSPORT,Transport Regulation,Operator Permits & Licencing,13146.926,17353.5,18297
EASTERN CAPE,TRANSPORT,Transport Regulation,Programme Support,4755,7799,8234
EASTERN CAPE,TRANSPORT,Transport Regulation,TRP Admin & Licencing,15157.092,12589.1666004609,13986
FREE STATE,,,,34877227.03,36743633,39337317
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,,,810479,836338,885053
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Administration,,170747,182598,192706
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Administration,Communication Services,8159,7331,7735
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Administration,Corporate Services,91504,104751,109885
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Administration,Financial Management,27651,28667,30566
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Administration,Office of the MEC,7697,7215,7629
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Administration,Senior Management,35736,34634,36891
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Agricultural Economics Services,,12335,13135,14107
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Agricultural Economics Services,AGRI-BUSINESS SUPPORT AND DEVELOPMENT,11661,12500,13437
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Agricultural Economics Services,MACRO ECONOMICS SUPPORT,674,635,670
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Research and Technology Development Services,,70479,72611,79158
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Research and Technology Development Services,INFRASTRUCTURE SUPPORT SERVICES,28335,31538,35452
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Research and Technology Development Services,RESEARCH,42144,41073,43706
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,STRUCTURED AGRICULTURAL  EDUCATION AND TRAINING,,26189,28301,30241
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,STRUCTURED AGRICULTURAL  EDUCATION AND TRAINING,FURTHER EDUCATION AND TRAINING (FET),5953,7554,7972
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,STRUCTURED AGRICULTURAL  EDUCATION AND TRAINING,HIGHER EDUCATION AND TRAINING,20236,20747,22269
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Sustainable Resource Management,,51304,46981,49778
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Sustainable Resource Management,Disaster Risk Management,11779,8713,8857
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Sustainable Resource Management,Engineering Services,12022,12769,14015
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Sustainable Resource Management,Land Care,26758,24704,26068
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Sustainable Resource Management,Land Use Management,745,795,838
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,FARMER SUPPORT AND DEVELOPMENT,,401854,410096,431143
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,FARMER SUPPORT AND DEVELOPMENT,Extension and Advisory Services,220908,234000,243268
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,FARMER SUPPORT AND DEVELOPMENT,Farmer Settlement,179476,174538,186232
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,FARMER SUPPORT AND DEVELOPMENT,Food Security,1470,1558,1643
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Rural Development,,8777,9479,10140
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Rural Development,Social Facilitation,4768,5151,5463
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Rural Development,Rural Development Coordination,4009,4328,4677
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Veterinary Services,,68794,73137,77780
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Veterinary Services,Animal Health,49773,52154,53704
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Veterinary Services,Export Control,960,1469,1550
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Veterinary Services,Veterinary Laboratory Services,12041,12631,15328
FREE STATE,AGRICULTURE AND RURAL DEVELOPMENT,Veterinary Services,Veterinary Public Health,6020,6883,7198
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,,,443329,469691,492384
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Administration,,155953,167869,171180
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Administration,Corporate Services,142629,153515,156121
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Administration,Office of the MEC,13324,14354,15059
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development and Planning,,95583,98509,99895
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development and Planning,Disaster Management,15723,16668,17708
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development and Planning,Local Economic Development,6936,7491,8115
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development and Planning,Local Economic Development (LED) / Development and Planning,0,0,0
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development and Planning,Municipal Infrastructure,46449,45578,42689
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Development and Planning,Spatial Planning,26475,28772,31383
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,House of Traditional Leaders,,9503,10334,11247
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,House of Traditional Leaders,Administration of House of Traditional Leaders,9503,10334,11247
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,,135001,141278,153556
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,Capacity Development,9566,10418,11361
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,Municipal Administration,20571,23020,24388
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,Municipal Finance,81953,83082,90623
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,"Municipal Performance, Monitoring, Reporting and Evaluation",7257,7893,8595
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Local Governance,Public Participation,15654,16865,18589
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Traditional Institutional Management,,47289,51701,56506
FREE STATE,COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,Traditional Institutional Management,Traditional Institutional Administration,47289,51701,56506
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",,,631931,632942,675859
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",Administration,,160448,160750,174619
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",Administration,Corporate Services,38356,38701,40831
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",Administration,Financial Management,72998,73198,82251
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",Administration,Management Servises,36174,37031,39068
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",Administration,Office of the MEC,12920,11820,12469
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",Economic and Small Business Development,,295583,286592,294605
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",Economic and Small Business Development,Economic Research and Planning,131295,136758,144281
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",Economic and Small Business Development,Integrated Economic Development,69837,73786,78716
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",Economic and Small Business Development,Small Business Development,94451,76048,71608
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",ENVIRONMENTAL AFFAIRS,,163770,177817,195676
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",ENVIRONMENTAL AFFAIRS,Biodiversity Management,109348,118426,133019
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",ENVIRONMENTAL AFFAIRS,Compliance and Enforcement,17214,16711,17630
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",ENVIRONMENTAL AFFAIRS,Environmental Empowerment Services,9217,13056,13775
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",ENVIRONMENTAL AFFAIRS,"Environmental Policy, Planning and Coordination",5233,6859,7235
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",ENVIRONMENTAL AFFAIRS,Environmental Quality Managemnt,22758,22765,24017
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",Tourism,,12130,7783,10959
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",Tourism,Tourism Planning,9977,4453,7447
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",Tourism,Tourism Sector Transformation,1008,1593,1680
FREE STATE,"ECONOMIC, SMALL BUSINESS DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS  ",Tourism,Tourism Growth and Development,1145,1737,1832
